,d1,d2
Sensitivity,164,"['29630204', '29178676', '29079132', '29067443', '28886666', '28746837', '28720364', '28594145', '28515099', '28434006', '28374939', '28111382', '27591698', '27367306', '27316481', '27312883', '27235725', '27157188', '26995375', '26733840', '26711537', '26670885', '26622881', '26434896', '26347542', '26344573', '26315685', '26221183', '26192704', '26118491', '26101430', '26045123', '26011302', '25859477', '25769598', '25687124', '25423693', '25260023', '25213851', '25204013', '25198373', '25110531', '25101983', '24973386', '24548294', '23940422', '23656855', '23539730', '23385647', '23277162', '23202475', '23171337', '23158981', '23129823', '23117209', '23111651', '22419801', '22157348', '21846915', '21814064', '21802190', '21794161', '21752885', '21711350', '21262739', '21219409', '21189329', '21076888', '21051904', '20954112', '20859530', '20694726', '20616164', '20567148', '20539904', '20519351', '20448666', '20413225', '23105900', '20170318', '20067548', '19900082', '19820404', '19602991', '19565284', '19480971', '19336950', '19307513', '19245511', '19218356', '19147816', '18824040', '18795969', '18468849', '18203896', '17936221', '18029465', '17955371', '17881795', '17702362', '17656446', '17514734', '17304577', '17161777', '16723537', '16370562', '16302160', '16253764', '15974890', '15946660', '15893376', '15831357', '15735799', '15700118', '15534911', '15061118', '14724165', '14641819', '12766472', '12593723', '12552202', '12394429', '12142331', '11470282', '11385138', '11227070', '11220563', '11207630', '11160411', '11135321', '10754408', '10726329', '10674900', '10488705', '10208468', '10092812', '10053104', '9853425', '9843471', '9823005', '9579791', '9544695', '9395135', '9274018', '9226362', '9246185', '9246184', '12741968', '8772802', '7570606', '7595854', '7838530', '7963672', '8060226', '1507935', '1755006', '2035556', '3047201', '3114484', '2436764', '2849485', '3485627', '7018459', '762202']"
Specificity,90,"['29630204', '29122955', '28886666', '28434006', '28374939', '27908506', '27906719', '27367306', '27316481', '27312883', '27284165', '26434896', '26221183', '26118491', '26101430', '25769598', '25766777', '25260023', '25198373', '24487067', '24121173', '23940422', '23861852', '23627734', '22735898', '21846915', '21814064', '21794161', '21689667', '21385980', '21255593', '20859530', '20716167', '20616164', '20588178', '20567148', '20539904', '20420817', '20351695', '20170318', '20072612', '20031010', '17582631', '17291192', '16840535', '16636066', '16443747', '16413609', '16384637', '15946660', '15246291', '15179216', '15169881', '15061118', '14724165', '12631290', '12593723', '12118067', '11602525', '11504477', '11470282', '11092259', '11076503', '10871757', '10820581', '10764769', '10559367', '10540193', '9807738', '9493142', '9390664', '8865474', '8882464', '7541710', '7595854', '7590820', '8117116', '7879590', '8462793', '8449563', '2666517', '2478503', '3384221', '3527224', '3902008', '6734123', '6891402', '6246419', '331574', '1112052']"
Strain,53,"['29218486', '29206791', '28798083', '28783750', '28504614', '28303818', '27610107', '26769314', '26668075', '25498031', '25257882', '25101983', '24706254', '24236153', '23940422', '23932189', '23353901', '23251421', '22855117', '22646287', '22419801', '22244215', '21864584', '21605923', '21094668', '20488631', '20072612', '20067548', '19502315', '19394024', '18926877', '17686137', '17045987', '16375916', '16166267', '15591261', '15557640', '15518817', '15480139', '12915530', '10559367', '10092812', '9436005', '9117036', '8752349', '7768201', '1444321', '1898610', '3145463', '3322387', '331574', '1003006', '943089']"
Survey,49,"['29536412', '29105668', '28739479', '28646938', '28125074', '27603429', '27237826', '25405922', '25243327', '25084031', '24937339', '24324716', '24043128', '23662745', '23361453', '23148113', '22379333', '21793474', '21610420', '21495003', '21311406', '21087879', '20222035', '20148599', '19827010', '19781654', '19695013', '19496830', '19302212', '18804220', '17074006', '15730503', '15691638', '11966345', '11898075', '11476441', '11025706', '10656220', '9601170', '8954028', '2663719', '4019157', '6149146', '6691747', '6400148', '6353541', '7105505', '7067548', '6985419']"
animal+Model ,27,"['29411287', '27073405', '26818179', '26593438', '26305672', '24973386', '24035433', '21191475', '20977617', '20164763', '19656972', '19055496', '15226380', '12119390', '11927386', '11274091', '10648110', '9614486', '9544695', '9487364', '7888782', '8729818', '1782959', '2635832', '2653028', '2468901', '3896082']"
bioavailability,11,"['28570936', '26689922', '26577502', '24893845', '19780539', '17100655', '11105972', '8772802', '7541892', '1581006', '3732370']"
bioavailable,4,"['24464446', '21307639', '17220089', '1311988']"
case+study,4,"['28943820', '27151717', '12497099', '12108719']"
coaching,1,['7025282']
confounding+factor,2,"['20472094', '15722190']"
