,d1,d2
Positive+control,8,"['23365606', '23178309', '22853996', '21453783', '21061058', '17251387', '16362798', '11546713']"
Questionairre,0,[]
Reproducibility,14,"['27312347', '27005886', '26411479', '25484052', '22559822', '22476205', '21720318', '20215681', '18794197', '18387932', '17367204', '16249842', '16033828', '2460496']"
Reproducible+Results,0,[]
Sensitivity,218,"['28794294', '28788903', '27775785', '27749538', '27134183', '27058318', '26997557', '26949460', '26825922', '26756009', '26601276', '26568859', '26566453', '26453654', '26379850', '26226136', '26099269', '26003676', '26000912', '25974230', '25908215', '25889486', '25663403', '25613067', '25495232', '25416437', '25416197', '25398499', '25365407', '25324543', '25313740', '25303488', '25209179', '25108671', '25100064', '25070829', '25063470', '25036347', '24986664', '24937940', '24909173', '24867712', '24824633', '24772442', '24611076', '24592997', '24455245', '24408401', '24397981', '24357718', '24319696', '24101190', '24079275', '24078924', '24018781', '23971938', '23943369', '23927930', '23836880', '23815562', '23780894', '26403628', '23675629', '23641911', '23558964', '23543587', '23494240', '23492364', '23473301', '23418897', '23346038', '23271362', '23216584', '23106158', '23044393', '22897821', '22856580', '22806317', '22593708', '22508774', '22476205', '22360771', '22302027', '22215414', '22162948', '22070530', '22056957', '22051579', '22033453', '22009755', '22005302', '21752810', '21553464', '21339993', '21282367', '21183666', '21159666', '21151908', '21116370', '21042019', '20883167', '20824697', '20670944', '20593050', '20584094', '20451373', '20427204', '20234302', '20176361', '19996213', '19918075', '19819984', '19696185', '19693769', '19657031', '19643988', '19418497', '19372686', '19298132', '19237581', '19229590', '19151195', '19139573', '19118527', '19086961', '19052642', '19050079', '19036880', '19032554', '19019027', '18824754', '18790523', '18692561', '18604561', '18514061', '18401421', '18387932', '18382681', '18356840', '18349188', '18339371', '18316554', '18234298', '18165437', '18024211', '17993584', '17906199', '17848183', '17673498', '17604977', '17575123', '17535111', '17519423', '17445657', '17316981', '17312943', '17290307', '17290060', '17222507', '17097229', '17086017', '17057710', '16974114', '16936204', '16872742', '16803864', '16556320', '16542160', '16478859', '16455819', '16363482', '16360453', '16325862', '16040081', '16033828', '15951848', '15912198', '15882421', '15866879', '15811683', '15811494', '15730395', '15661884', '15650163', '15518170', '15495094', '15489860', '22557158', '15370385', '15304519', '15285468', '14977841', '14672915', '14512211', '12935295', '12496384', '12352599', '12190834', '11741883', '11714847', '11463794', '11461904', '11433760', '11165366', '11141566', '10944516', '10077615', '9392479', '9288788', '8934696', '7925305', '8047164', '8386388', '6985768', '376552', '360062', '400712', '350903']"
Specificity,123,"['28794294', '28232911', '27775785', '27165857', '27134183', '26825922', '26756009', '26568859', '26553932', '26379850', '26226136', '26159007', '26000912', '25974230', '25918420', '25792385', '25755707', '25663977', '25548771', '25416437', '25313740', '25209179', '25119547', '25036347', '24986664', '24937940', '24732323', '24611076', '24592997', '24455245', '24385585', '24294851', '23971938', '26403628', '23671108', '23440204', '23413424', '23364803', '23106158', '22856580', '22817658', '22806317', '22798424', '22699755', '22615246', '22509318', '22508774', '22360771', '22318606', '22215414', '22143567', '22070530', '22051579', '22033453', '21553464', '21547151', '21446757', '21210990', '21042019', '20870577', '20593050', '20427204', '20375226', '20234302', '20173750', '19782726', '19418497', '19276379', '19229590', '19201797', '19141861', '19086961', '18824687', '18713984', '18680715', '18381456', '18316554', '18296101', '18268018', '18024211', '17906199', '17690890', '17611720', '17575123', '17516552', '17445657', '17339455', '17264214', '17135436', '17114467', '16974114', '16700886', '16556320', '16487061', '16478859', '16387853', '16360453', '15912198', '15730395', '15370385', '14977841', '14672915', '14608366', '11821158', '11741883', '11346645', '10966782', '10932255', '10925314', '10806476', '10688189', '10409727', '9299469', '8909298', '8885844', '8692921', '8639531', '7543632', '7923908', '7911078', '1400454', '2214028', '6405790']"
Strain,110,"['29046721', '27617005', '27203611', '28787919', '26628932', '26539188', '26453654', '26002719', '25953179', '25947405', '25381057', '25375973', '25119547', '25092800', '24732323', '24684893', '24353159', '24259496', '24116023', '24098407', '24082641', '24082079', '24075532', '23963747', '23635087', '23614030', '23607635', '23587930', '22993191', '22806817', '22615246', '22530024', '22473610', '22198263', '21917550', '21862592', '21854183', '21606207', '21516347', '21421929', '21203472', '21183666', '21162628', '21158857', '21148673', '21077804', '21043993', '20883167', '20584094', '20574642', '20568951', '20391342', '20176361', '20061500', '19933356', '19863197', '19839869', '19734285', '19684320', '19661499', '19643896', '19406812', '19298132', '19265329', '19202085', '19174511', '19122277', '19060155', '19040206', '19023421', '18818438', '18704087', '18193107', '17973093', '17916578', '17535111', '17227430', '17135436', '17114467', '16885199', '16809859', '16738545', '16484209', '16174581', '16094364', '15935697', '15870476', '15784899', '15759001', '15659666', '15618611', '15304519', '15146069', '15028690', '14871577', '12932358', '12757644', '12417916', '11710530', '11376558', '10722567', '9199447', '8376821', '8393056', '7687746', '2037350', '2033668', '2137012', '2478292', '2993656']"
Survey,55,"['28745809', '28506377', '28193790', '28083053', '28057775', '27605815', '27605782', '26445532', '26287729', '25861171', '25504721', '25319597', '24677581', '24653606', '24456256', '23385271', '23256543', '23064867', '22996983', '22870008', '22476205', '22306959', '23497656', '22189744', '21804945', '21768528', '21323727', '21297532', '21070227', '20976071', '20958973', '20696651', '19908618', '19891753', '19694877', '19633587', '19583665', '19579217', '19504437', '19413639', '19371446', '19288944', '19183482', '19132101', '19077420', '18592845', '17704142', '17353833', '16832828', '16609730', '16319506', '10411496', '7941560', '8213314', '1912750']"
animal+Model ,38,"['27483303', '27460898', '26889707', '25995336', '25851468', '25621044', '25381057', '24762603', '24656405', '24077839', '23947821', '23941603', '23744736', '23030292', '22921965', '22525440', '22387856', '22364277', '22213426', '21854183', '22833948', '20879957', '20124219', '19785755', '19607689', '17611720', '16368125', '15642590', '15208318', '14977841', '11102966', '10642298', '10618412', '10559146', '9328234', '8393056', '1400454', '1979954']"
bioavailability,19,"['27862525', '29648728', '23800858', '23286295', '22747081', '22484149', '22387888', '21704741', '20727991', '20599780', '20105430', '19735646', '18758063', '18368379', '17719120', '16882552', '16390818', '16178425', '10095978']"
